A=14 | B=7 | Sel=2 | Result=98
A=14 | B=8 | Sel=2 | Result=112
A=14 | B=9 | Sel=2 | Result=126
A=14 | B=10 | Sel=2 | Result=-116
A=14 | B=11 | Sel=2 | Result=-102
A=14 | B=12 | Sel=2 | Result=-88
A=14 | B=13 | Sel=2 | Result=-74
A=14 | B=14 | Sel=2 | Result=-60
A=14 | B=15 | Sel=2 | Result=-46
A=15 | B=0 | Sel=2 | Result=0
A=15 | B=1 | Sel=2 | Result=15
A=15 | B=2 | Sel=2 | Result=30
A=15 | B=3 | Sel=2 | Result=45
A=15 | B=4 | Sel=2 | Result=60
A=15 | B=5 | Sel=2 | Result=75
A=15 | B=6 | Sel=2 | Result=90
A=15 | B=7 | Sel=2 | Result=105
A=15 | B=8 | Sel=2 | Result=120
A=15 | B=9 | Sel=2 | Result=-121
A=15 | B=10 | Sel=2 | Result=-106
A=15 | B=11 | Sel=2 | Result=-91
A=15 | B=12 | Sel=2 | Result=-76
A=15 | B=13 | Sel=2 | Result=-61
A=15 | B=14 | Sel=2 | Result=-46
A=15 | B=15 | Sel=2 | Result=-31
A=10 | B=0 | Sel=3 | Result=0
A=10 | B=1 | Sel=3 | Result=10
A=10 | B=2 | Sel=3 | Result=5
A=10 | B=3 | Sel=3 | Result=3
A=10 | B=4 | Sel=3 | Result=2
A=10 | B=5 | Sel=3 | Result=2
A=10 | B=6 | Sel=3 | Result=1
A=10 | B=7 | Sel=3 | Result=1
A=10 | B=8 | Sel=3 | Result=1
A=10 | B=9 | Sel=3 | Result=1
A=10 | B=10 | Sel=3 | Result=1
A=10 | B=11 | Sel=3 | Result=0
A=10 | B=12 | Sel=3 | Result=0
A=10 | B=13 | Sel=3 | Result=0
A=10 | B=14 | Sel=3 | Result=0
A=10 | B=15 | Sel=3 | Result=0
A=11 | B=0 | Sel=3 | Result=0
A=11 | B=1 | Sel=3 | Result=11
A=11 | B=2 | Sel=3 | Result=5
A=11 | B=3 | Sel=3 | Result=3
A=11 | B=4 | Sel=3 | Result=2
A=11 | B=5 | Sel=3 | Result=2
A=11 | B=6 | Sel=3 | Result=1
A=11 | B=7 | Sel=3 | Result=1
A=11 | B=8 | Sel=3 | Result=1
A=11 | B=9 | Sel=3 | Result=1
A=11 | B=10 | Sel=3 | Result=1
A=11 | B=11 | Sel=3 | Result=1
A=11 | B=12 | Sel=3 | Result=0
A=11 | B=13 | Sel=3 | Result=0
A=11 | B=14 | Sel=3 | Result=0
A=11 | B=15 | Sel=3 | Result=0
A=12 | B=0 | Sel=3 | Result=0
A=12 | B=1 | Sel=3 | Result=12
A=12 | B=2 | Sel=3 | Result=6
A=12 | B=3 | Sel=3 | Result=4
A=12 | B=4 | Sel=3 | Result=3
A=12 | B=5 | Sel=3 | Result=2
A=12 | B=6 | Sel=3 | Result=2
A=12 | B=7 | Sel=3 | Result=1
A=12 | B=8 | Sel=3 | Result=1
A=12 | B=9 | Sel=3 | Result=1
A=12 | B=10 | Sel=3 | Result=1
A=12 | B=11 | Sel=3 | Result=1
A=12 | B=12 | Sel=3 | Result=1
A=12 | B=13 | Sel=3 | Result=0
A=12 | B=14 | Sel=3 | Result=0
A=12 | B=15 | Sel=3 | Result=0
A=13 | B=0 | Sel=3 | Result=0
A=13 | B=1 | Sel=3 | Result=13
A=13 | B=2 | Sel=3 | Result=6
A=13 | B=3 | Sel=3 | Result=4
A=13 | B=4 | Sel=3 | Result=3
A=13 | B=5 | Sel=3 | Result=2
A=13 | B=6 | Sel=3 | Result=2
A=13 | B=7 | Sel=3 | Result=1
A=13 | B=8 | Sel=3 | Result=1
A=13 | B=9 | Sel=3 | Result=1
A=13 | B=10 | Sel=3 | Result=1
A=13 | B=11 | Sel=3 | Result=1
A=13 | B=12 | Sel=3 | Result=1
A=13 | B=13 | Sel=3 | Result=1
A=13 | B=14 | Sel=3 | Result=0
A=13 | B=15 | Sel=3 | Result=0
A=14 | B=0 | Sel=3 | Result=0
A=14 | B=1 | Sel=3 | Result=14
A=14 | B=2 | Sel=3 | Result=7
A=14 | B=3 | Sel=3 | Result=4
A=14 | B=4 | Sel=3 | Result=3
A=14 | B=5 | Sel=3 | Result=2
A=14 | B=6 | Sel=3 | Result=2
A=14 | B=7 | Sel=3 | Result=2
A=14 | B=8 | Sel=3 | Result=1
A=14 | B=9 | Sel=3 | Result=1
A=14 | B=10 | Sel=3 | Result=1
A=14 | B=11 | Sel=3 | Result=1
A=14 | B=12 | Sel=3 | Result=1
A=14 | B=13 | Sel=3 | Result=1
A=14 | B=14 | Sel=3 | Result=1
A=14 | B=15 | Sel=3 | Result=0
A=15 | B=0 | Sel=3 | Result=0
A=15 | B=1 | Sel=3 | Result=15
A=15 | B=2 | Sel=3 | Result=7
A=15 | B=3 | Sel=3 | Result=5
A=15 | B=4 | Sel=3 | Result=3
A=15 | B=5 | Sel=3 | Result=3
A=15 | B=6 | Sel=3 | Result=2
A=15 | B=7 | Sel=3 | Result=2
A=15 | B=8 | Sel=3 | Result=1
A=15 | B=9 | Sel=3 | Result=1
A=15 | B=10 | Sel=3 | Result=1
A=15 | B=11 | Sel=3 | Result=1
A=15 | B=12 | Sel=3 | Result=1
A=15 | B=13 | Sel=3 | Result=1
A=15 | B=14 | Sel=3 | Result=1
A=15 | B=15 | Sel=3 | Result=1
A=10 | B=0 | Sel=4 | Result=0
A=10 | B=1 | Sel=4 | Result=0
A=10 | B=2 | Sel=4 | Result=2
A=10 | B=3 | Sel=4 | Result=2
A=10 | B=4 | Sel=4 | Result=0
A=10 | B=5 | Sel=4 | Result=0
A=10 | B=6 | Sel=4 | Result=2
A=10 | B=7 | Sel=4 | Result=2
A=10 | B=8 | Sel=4 | Result=8
A=10 | B=9 | Sel=4 | Result=8
A=10 | B=10 | Sel=4 | Result=10
A=10 | B=11 | Sel=4 | Result=10
A=10 | B=12 | Sel=4 | Result=8
A=10 | B=13 | Sel=4 | Result=8
A=10 | B=14 | Sel=4 | Result=10
A=10 | B=15 | Sel=4 | Result=10
A=11 | B=0 | Sel=4 | Result=0
A=11 | B=1 | Sel=4 | Result=1
A=11 | B=2 | Sel=4 | Result=2
A=11 | B=3 | Sel=4 | Result=3
A=11 | B=4 | Sel=4 | Result=0
A=11 | B=5 | Sel=4 | Result=1
A=11 | B=6 | Sel=4 | Result=2
A=11 | B=7 | Sel=4 | Result=3
A=11 | B=8 | Sel=4 | Result=8
A=11 | B=9 | Sel=4 | Result=9
A=11 | B=10 | Sel=4 | Result=10
A=11 | B=11 | Sel=4 | Result=11
A=11 | B=12 | Sel=4 | Result=8
A=11 | B=13 | Sel=4 | Result=9
A=11 | B=14 | Sel=4 | Result=10
A=11 | B=15 | Sel=4 | Result=11
A=12 | B=0 | Sel=4 | Result=0
A=12 | B=1 | Sel=4 | Result=0
A=12 | B=2 | Sel=4 | Result=0
A=12 | B=3 | Sel=4 | Result=0
A=12 | B=4 | Sel=4 | Result=4
A=12 | B=5 | Sel=4 | Result=4
A=12 | B=6 | Sel=4 | Result=4
A=12 | B=7 | Sel=4 | Result=4
A=12 | B=8 | Sel=4 | Result=8
A=12 | B=9 | Sel=4 | Result=8
A=12 | B=10 | Sel=4 | Result=8
A=12 | B=11 | Sel=4 | Result=8
A=12 | B=12 | Sel=4 | Result=12
A=12 | B=13 | Sel=4 | Result=12
A=12 | B=14 | Sel=4 | Result=12
A=12 | B=15 | Sel=4 | Result=12
